Label (Grouping),Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Median income (dollars),"40,474","64,576","46,789","38,307","57,708","54,046","64,032","55,487","44,409","46,430","63,030","43,490","52,972","65,512","47,961","48,257","40,062","42,505","45,815","68,854","62,072","45,413","55,459","36,851","44,301","42,666","48,408","51,001","74,634","82,427","42,090","54,148","43,326","48,670","45,090","42,072","66,179","49,288","67,814","42,018","68,672","24,305","48,615","54,744","49,406","72,476","77,985","21,018","29,375","29,846"
Mean income (dollars),"55,778","81,290","62,838","52,382","79,465","72,423","90,074","72,550","61,877","62,967","79,560","56,086","72,022","75,020","60,901","63,094","54,320","59,116","59,300","89,563","84,005","59,772","71,345","50,591","59,525","56,266","61,630","66,630","89,864","106,125","57,655","78,726","59,053","61,289","59,654","56,533","82,100","65,878","85,213","56,365","81,805","33,799","66,756","68,176","63,768","94,262","95,186","30,029","38,216","39,218"
